Date,Open,High,Low,Close,Adj Close,Volume
2023-05-30,7.000000,7.810000,6.870000,7.260000,7.260000,460900
2023-05-31,7.290000,7.500000,6.200000,6.960000,6.960000,374800
2023-06-01,6.880000,6.880000,6.390000,6.650000,6.650000,276000
2023-06-02,6.690000,7.250000,6.425000,7.100000,7.100000,564900
2023-06-05,7.100000,7.530000,6.860000,7.020000,7.020000,411000
2023-06-06,6.800000,7.950000,6.690000,7.860000,7.860000,424300
2023-06-07,7.880000,8.080000,7.330000,7.370000,7.370000,343800
2023-06-08,7.350000,7.540000,6.970000,7.440000,7.440000,373100
2023-06-09,7.040000,7.620000,6.840000,7.420000,7.420000,687000
2023-06-12,7.480000,7.480000,6.810000,7.170000,7.170000,316600
2023-06-13,7.190000,7.370000,6.780000,7.240000,7.240000,384600
2023-06-14,7.240000,7.500000,7.082000,7.470000,7.470000,405400
2023-06-15,7.500000,7.910000,7.370000,7.450000,7.450000,445600
2023-06-16,7.580000,7.580000,6.760000,6.900000,6.900000,445200
2023-06-20,6.760000,6.899000,6.430000,6.520000,6.520000,339000
2023-06-21,6.480000,6.480000,6.080000,6.200000,6.200000,323700
2023-06-22,6.190000,6.470000,6.025000,6.450000,6.450000,192500
2023-06-23,6.330000,6.730000,6.290000,6.540000,6.540000,2062400
2023-06-26,6.670000,6.990000,6.490000,6.540000,6.540000,248400
2023-06-27,6.590000,6.720000,6.520000,6.600000,6.600000,102800
2023-06-28,6.540000,6.950000,6.520000,6.760000,6.760000,202500
2023-06-29,6.790000,7.160000,6.601000,6.970000,6.970000,154600
2023-06-30,7.060000,7.060000,6.735000,6.820000,6.820000,138700
2023-07-03,6.800000,7.070000,6.800000,6.960000,6.960000,84600
2023-07-05,6.960000,7.280000,6.860000,7.140000,7.140000,323500
2023-07-06,6.970000,7.080000,6.430000,6.510000,6.510000,222800
2023-07-07,6.500000,7.030000,6.500000,6.900000,6.900000,211700
2023-07-10,6.850000,7.150000,6.850000,7.060000,7.060000,146400
2023-07-11,7.140000,7.140000,6.730000,7.030000,7.030000,152000
2023-07-12,7.070000,7.855000,7.000000,7.710000,7.710000,490300
2023-07-13,7.800000,8.020000,7.680000,7.800000,7.800000,345700
2023-07-14,7.780000,7.820000,7.420000,7.520000,7.520000,163400
2023-07-17,7.540000,7.720000,7.413000,7.660000,7.660000,102900
2023-07-18,7.660000,7.710000,7.510000,7.640000,7.640000,89500
2023-07-19,7.550000,7.820000,7.215000,7.330000,7.330000,173300
2023-07-20,7.330000,7.330000,6.805000,6.980000,6.980000,228000
2023-07-21,7.040000,7.140000,6.840000,6.990000,6.990000,165300
2023-07-24,7.030000,7.090000,6.838000,6.930000,6.930000,103000
2023-07-25,6.880000,7.220000,6.850000,7.220000,7.220000,129200
2023-07-26,7.150000,7.225000,6.980000,7.170000,7.170000,75200
2023-07-27,7.240000,7.322000,6.950000,7.000000,7.000000,106700
2023-07-28,7.110000,7.390000,7.090000,7.310000,7.310000,133500
2023-07-31,7.180000,7.750000,7.180000,7.590000,7.590000,313900
2023-08-01,7.520000,7.711000,7.310000,7.510000,7.510000,87900
2023-08-02,7.400000,7.420000,7.000000,7.190000,7.190000,194000
2023-08-03,7.190000,7.300000,6.880000,6.950000,6.950000,244500
2023-08-04,6.510000,7.280000,6.120000,7.200000,7.200000,487400
2023-08-07,7.210000,7.280000,6.920000,7.250000,7.250000,243500
2023-08-08,7.090000,7.150000,6.780000,7.100000,7.100000,205100
2023-08-09,7.050000,7.140000,6.909000,7.090000,7.090000,180700
2023-08-10,7.000000,7.120000,6.870000,7.060000,7.060000,137300
2023-08-11,6.910000,7.060000,6.826000,6.870000,6.870000,143700
2023-08-14,6.650000,6.865000,6.580000,6.700000,6.700000,163400
2023-08-15,6.680000,6.760000,6.620000,6.620000,6.620000,75600
2023-08-16,6.610000,6.700000,6.420000,6.440000,6.440000,84700
2023-08-17,6.450000,6.540000,6.095000,6.210000,6.210000,161700
2023-08-18,6.130000,6.440000,6.130000,6.350000,6.350000,79700
2023-08-21,6.330000,6.470000,6.140000,6.280000,6.280000,58200
2023-08-22,6.310000,6.700000,6.295000,6.590000,6.590000,97800
2023-08-23,6.610000,6.790000,6.590000,6.770000,6.770000,61200
2023-08-24,6.830000,6.860000,6.420000,6.450000,6.450000,76200
2023-08-25,6.560000,6.560000,6.150000,6.300000,6.300000,68800
2023-08-28,6.330000,6.455000,6.110000,6.150000,6.150000,74300
2023-08-29,6.240000,6.650000,6.100000,6.610000,6.610000,143700
2023-08-30,6.570000,6.695000,6.460000,6.500000,6.500000,58500
2023-08-31,6.620000,6.862000,6.580000,6.770000,6.770000,123300
2023-09-01,7.090000,7.210000,6.803000,7.180000,7.180000,171400
2023-09-05,7.200000,7.260000,6.780000,7.100000,7.100000,150500
2023-09-06,7.030000,7.350000,6.900000,7.310000,7.310000,162700
2023-09-07,7.130000,7.400000,7.010000,7.190000,7.190000,194000
2023-09-08,7.220000,7.310000,6.860000,7.200000,7.200000,139300
2023-09-11,7.230000,7.230000,6.790000,7.200000,7.200000,158200
2023-09-12,7.090000,7.530000,7.090000,7.440000,7.440000,165900
2023-09-13,7.370000,7.400000,6.690000,6.740000,6.740000,180500
2023-09-14,6.690000,6.920000,6.580000,6.770000,6.770000,106700
2023-09-15,6.680000,6.680000,6.430000,6.550000,6.550000,132500
2023-09-18,6.500000,6.610000,6.450000,6.600000,6.600000,72900
2023-09-19,6.700000,6.700000,6.450000,6.520000,6.520000,64000
2023-09-20,6.560000,6.740000,6.540000,6.550000,6.550000,40900
2023-09-21,6.460000,6.535000,5.890000,5.980000,5.980000,214600
2023-09-22,6.080000,6.080000,5.840000,5.910000,5.910000,166300
2023-09-25,5.860000,6.180000,5.750000,6.040000,6.040000,70400
2023-09-26,6.000000,6.130000,5.900000,6.040000,6.040000,81600
2023-09-27,6.210000,6.310000,6.080000,6.250000,6.250000,111500
2023-09-28,6.260000,6.530000,6.260000,6.500000,6.500000,84200
2023-09-29,6.420000,6.640000,6.330000,6.510000,6.510000,76500
2023-10-02,6.490000,6.670000,6.320000,6.540000,6.540000,121000
2023-10-03,6.430000,6.530000,6.220000,6.240000,6.240000,80500
2023-10-04,6.200000,6.350000,6.040000,6.350000,6.350000,60200
2023-10-05,6.340000,6.415000,6.140000,6.210000,6.210000,45300
2023-10-06,6.120000,6.546000,6.110000,6.130000,6.130000,27900
2023-10-09,6.065000,6.260000,5.900000,6.260000,6.260000,57100
2023-10-10,6.210000,6.280000,6.040000,6.090000,6.090000,146200
2023-10-11,6.120000,6.400000,6.020000,6.230000,6.230000,141000
2023-10-12,6.110000,6.150000,6.020000,6.120000,6.120000,78500
2023-10-13,5.900000,6.030000,5.760000,5.960000,5.960000,539000
2023-10-16,5.960000,6.000000,5.810000,5.920000,5.920000,169800
2023-10-17,5.870000,6.080000,5.870000,5.960000,5.960000,101500
2023-10-18,5.930000,6.030000,5.730000,5.980000,5.980000,114400
2023-10-19,5.980000,6.050000,5.800000,5.950000,5.950000,101500
2023-10-20,5.900000,5.960000,5.720000,5.880000,5.880000,167800
2023-10-23,5.850000,5.865000,5.640000,5.650000,5.650000,117300
2023-10-24,5.730000,5.765000,5.460000,5.530000,5.530000,111700
2023-10-25,5.450000,5.500000,5.390000,5.410000,5.410000,67600
2023-10-26,5.390000,5.500000,5.250000,5.320000,5.320000,52800
2023-10-27,5.350000,5.510000,5.300000,5.370000,5.370000,52100
2023-10-30,5.420000,5.520000,5.320000,5.480000,5.480000,47400
2023-10-31,5.520000,5.540000,5.323000,5.450000,5.450000,27700
2023-11-01,5.480000,5.480000,5.180000,5.400000,5.400000,110400
2023-11-02,5.820000,6.630000,5.810000,6.340000,6.340000,384900
2023-11-03,6.510000,6.800000,6.477000,6.660000,6.660000,202600
2023-11-06,6.760000,6.760000,6.310000,6.450000,6.450000,185600
2023-11-07,6.420000,6.710000,6.180000,6.660000,6.660000,410200
2023-11-08,6.000000,6.200000,4.200000,4.830000,4.830000,1149200
2023-11-09,4.850000,4.853000,4.500000,4.510000,4.510000,503400
2023-11-10,4.500000,4.640000,4.270000,4.400000,4.400000,203200
2023-11-13,4.490000,4.570000,4.272000,4.400000,4.400000,186600
2023-11-14,4.630000,4.860000,4.590000,4.860000,4.860000,224300
2023-11-15,4.850000,4.970000,4.590000,4.670000,4.670000,190800
2023-11-16,4.690000,4.690000,4.330000,4.530000,4.530000,125300
2023-11-17,4.620000,4.710000,4.530000,4.680000,4.680000,75800
2023-11-20,4.710000,4.940000,4.660000,4.800000,4.800000,136800
2023-11-21,4.810000,5.023000,4.650000,4.970000,4.970000,211800
2023-11-22,5.070000,5.150000,4.950000,5.130000,5.130000,140200
